state,code,name,zone,address,geometry_type,coordinates
Gujarat,VKL,Vankal,WR,"SH 166, Gujarat",Point,"[73.23136643506587, 21.439673931772646]"
Maharashtra,BY,BYCULLA,CR,"Mumbai, Maharashtra",Point,"[72.833211, 18.97695]"
,BNR,BHAGWANPUR,,,Point,"[85.30109021000001, 25.858316719999998]"
Tamil Nadu,KTY,Kotturu,SWR,"Kothur Rd, Tamil Nadu",Point,"[76.21354088187218, 14.826788325296278]"
Assam,BLMR,Bhalukmara,NFR,"Bhalukmara, Assam",Point,"[94.143709, 26.685532]"
Maharashtra,ANJ,Anjangaon,CR,"Anjangaon, Maharashtra",Point,"[77.31896504759789, 21.163199753077336]"
West Bengal,DEB,Debagram,ER,"Debagram, West Bengal",Point,"[88.306807, 23.685277]"
Maharashtra,ELP,Achalpur,CR,"Dist. Amravati, Maharashtra",Point,"[77.51926277764142, 21.27760302246017]"
West Bengal,BTY,Bethuadahari,ER,"Bethuadahari, West Bengal",Point,"[88.384597, 23.610275]"
Maharashtra,WARUD,Warud,CR,"Wardha, Maharashtra",Point,"[78.65141943097115, 20.74690547756532]"
,BVAC,BVAC,,,,
,BVBC,BVBC,,,,
Tamil Nadu,VLKN,Velankanni,?,"Velankanni, Tamil Nadu",Point,"[79.84618068672717, 10.686877168293023]"
Andhra Pradesh,PCU,PUTLACHERUVU,SCR,"Putlacheruvu, Andhra Pradesh",Point,"[81.112395, 16.484823]"
,BNPT,BENNIPATTI PIRAPUR,,,Point,"[85.3090478906, 25.892949366]"
,JM,JALAMB JN,,,Point,"[76.573236, 20.813007000000002]"
Andhra Pradesh,GPJ,Gorapur,ECoR,"Jeypore Rd, Andhra Pradesh",Point,"[82.79406, 18.346936]"
,ABEO,Pattaravakkam,SR,,Point,"[80.16618146561086, 13.114499981582952]"
,SEG,SHEGAON,,,Point,"[76.690331, 20.801724]"
Madhya Pradesh,GDU,Gudru Halt,SECR,"Lamta, Madhya Pradesh",Point,"[80.1163395764, 22.2718946035]"
West Bengal,BGNA,Balgona,ER,"Balgona, West Bengal",Point,"[87.95045644976199, 23.458049719226736]"
West Bengal,KLNP,Kalinarayanpur,ER,"Ranaghat-Bagula Bypass, West Bengal",Point,"[88.573216, 23.206506]"
,NGZ,S K NAGJIHARI,,,Point,"[76.755353, 20.761640999999997]"
,PS,PARAS,,,Point,"[76.815865, 20.724519]"
West Bengal,BRDB,Barda,SER,"Sutahata, West Bengal",Point,"[88.08753041, 22.15295838]"
,GAO,GAIGAON,,,Point,"[76.890093, 20.720684]"
,RRL,REWRAL,,,Point,"[79.468096, 21.261121]"
,KHAT,KHAT,,,Point,"[79.550792, 21.242242]"
,BRD,BHANDARA ROAD,,,Point,"[79.64752299999999, 21.238512]"
,KOKA,KOKA,,,Point,"[79.71240900000001, 21.263021]"
,DAO,DAGHORA,,,Point,"[83.678086, 21.857535000000002]"
,HGR,HEMAGIRI,,,Point,"[83.742815, 21.876503999999997]"
Madhya Pradesh,NIR,Nainpur Junction,SECR,"Nainpur, Madhya Pradesh",Point,"[80.108853, 22.425676]"
Assam,NCH,NAKACHARI,NFR,"Mariani, Assam",Point,"[94.3939129431, 26.7081333353]"
West Bengal,APDJ,ALIPUR DUAR JN,NFR,"03564-255091, West Bengal",Point,"[89.534048, 26.523279]"
,BRE,BHARWARI,,,Point,"[81.4918665, 25.5591917]"
West Bengal,JTK,Jhitkia,NFR,"National Highway 34, West Bengal",Point,"[88.05297200000001, 25.626133]"
,MNJ,MANOHARGANJ,,,Point,"[81.55907499999999, 25.524992]"
,SYWN,SAIYID SARAWAN,,,Point,"[81.613788, 25.494982]"
,MRE,MANAURI,,,Point,"[81.662491, 25.470171]"
,BMU,BAMHRAULI,,,Point,"[81.741641, 25.44494]"
,SFG,SUBEDARGANJ,,,Point,"[81.789897, 25.439879]"
