State,District,avg_RAS,station_count,avg_supply_index,avg_demand_index,total_schedule_rows,avg_route_connectivity
Andhra Pradesh,Warangal,0.6367548468627191,25,0.23828063822606146,0.09692346585795306,2284,0.48
Andhra Pradesh,West Godavari,0.4895374597762747,42,0.1957593663929577,0.14009579839373199,3160,0.5952380952380952
Assam,Baksa,0.06365883892245829,1,0.0026329749802418614,0.03872773823428977,2,0.0
Assam,Barpeta,0.6568706000407001,6,0.16148913212150087,0.08293821268155374,374,0.0
Assam,Bongaigaon,0.5530039427643323,5,0.09531369428475539,0.06989423854484793,186,0.0
Assam,Cachar,0.1169666923789207,12,0.014948928108367182,0.10765320831984963,79,0.9166666666666666
Assam,Chirang,0.7868986105531907,7,0.21075481273786756,0.05582124574322462,565,1.1428571428571428
Assam,Dhubri,0.022657837098545526,4,0.003013203117123991,0.129834007021054,8,0.5
Assam,Dibrugarh,0.28498559824401454,13,0.04981455498492409,0.11277054164087072,250,2.3846153846153846
Assam,Dima Hasao,0.21488550391727532,15,0.016324444877499542,0.05614872659504961,108,0.0
Assam,Goalpara,0.6238518524412727,7,0.07786083155858077,0.04646069280288941,214,0.0
Assam,Golaghat,0.45022731501670443,16,0.06328645656002521,0.05447011597930293,400,0.125
Assam,Hailakandi,0.07000701294095461,9,0.007313819389560726,0.08745930845664002,34,0.0
Assam,Jorhat,0.4356983824407332,12,0.05592618814654931,0.055592413359124376,264,0.8333333333333334
Assam,Kamrup,0.6517659845878689,11,0.11202111734119921,0.04281058681988206,479,0.0
Assam,Kamrup Metropolitan,0.49087458859344757,13,0.14195421646915055,0.12867723030938846,685,7.6923076923076925
Assam,Karbi Anglong,0.6349249031908325,9,0.10736686863875146,0.06160302102116012,376,0.0
Assam,Karimganj,0.1055990830810024,19,0.013623644647017515,0.11189168136643292,115,0.42105263157894735
Assam,Kokrajhar,0.4753071775290976,12,0.11676262830029045,0.06509836043902319,543,0.3333333333333333
Assam,Nagaon,0.22666535658921383,32,0.04678995852262513,0.10492412241069879,597,0.5625
Assam,Nalbari,0.8514146150029009,4,0.1790422986564466,0.031245727296498285,276,0.0
Assam,Sivasagar,0.43691698140837987,19,0.05568268001843904,0.05292867419783592,429,0.0
Assam,Sonitpur,0.051622811862522454,10,0.0036158437405487886,0.06491212523921519,22,0.6
Assam,Tinsukia,0.25896549677792136,12,0.03798745918548347,0.09401572375063257,184,0.9166666666666666
Assam,Udalguri,0.035056722370635236,6,0.0026329749802418614,0.07247316165183916,12,0.0
Bihar,Araria,0.3183558297853427,11,0.035547394121088476,0.07002655129563108,152,2.3636363636363638
Bihar,Aurangabad,0.5919283196536013,12,0.18435985434913627,0.08472453812064014,864,0.0
Bihar,Banka,0.2742228070745493,10,0.01881677739416177,0.047244581533729804,78,1.2
Bihar,Begusarai,0.5124904811868684,26,0.15793101063111945,0.1049844873055536,1576,1.2692307692307692
Bihar,Bhagalpur,0.29386061789880574,29,0.09260583080920966,0.19533506858843344,1038,1.3103448275862069
Bihar,Bhojpur,0.49277350183176655,19,0.17692662302373466,0.10729425378584394,1294,0.3157894736842105
Bihar,Buxar,0.6540654614070632,8,0.31428890397995335,0.15174884173849995,956,3.0
Bihar,Darbhanga,0.30156854496965196,19,0.06965462853014677,0.12622368217452157,502,3.5789473684210527
Bihar,Gaya,0.3517677192773685,28,0.13289767161553256,0.1584236021003956,1430,1.9642857142857142
Bihar,Gopalganj,0.20380651562652521,8,0.019907786639352915,0.06651804876962353,63,2.375
Bihar,Jamui,0.6995344353368611,11,0.21129735810832104,0.06359595434967522,890,1.1818181818181819
Bihar,Jehanabad,0.24745097492574644,11,0.03638292699970572,0.06867275475860955,163,0.0
Bihar,Katihar,0.5277799890571959,37,0.1438597959229309,0.08886042144314377,2043,1.4594594594594594
Bihar,Khagaria,0.39201551639182436,14,0.11163393398792518,0.13524131188760513,607,0.14285714285714285
Bihar,Kishanganj,0.8476177802287379,5,0.29444837281400316,0.05085948477862491,563,0.8
Bihar,Lakhisarai,0.5795411364934702,25,0.14978455039721897,0.058867478496207985,1442,0.72
Bihar,Madhepura,0.21153782096321483,5,0.013047130019976108,0.04392966213633984,24,4.0
Bihar,Madhubani,0.16839426829619977,18,0.028790101922956272,0.1186190510266404,205,1.8888888888888888
Bihar,Munger,0.2929381381481844,13,0.09035229972473992,0.19189402718494758,461,1.5384615384615385
Bihar,Muzaffarpur,0.5102699643499939,15,0.1799428545655403,0.14768883066792765,1028,2.8
Bihar,Nalanda,0.23045997936652995,13,0.03053773058541193,0.09964842667771576,158,1.5384615384615385
Bihar,Nawada,0.16963210091398712,11,0.02226060665113574,0.09793457953453454,104,0.0
Bihar,Pashchim Champaran,0.2971822250938154,24,0.05075768038511388,0.09824958387880856,478,1.25
Bihar,Patna,0.36059112337627575,58,0.22604795113689521,0.3089839437530669,4994,2.6551724137931036
Bihar,Purba Champaran,0.2884832007619488,27,0.04603890409086997,0.08130799441854519,489,1.2962962962962963
Bihar,Purnia,0.2644657541640802,16,0.02666602716943211,0.06749154139559295,174,0.875
Bihar,Rohtas,0.4538078007604719,13,0.16751032835294324,0.11483677073906486,837,1.7692307692307692
Bihar,Saharsa,0.1911332766943794,10,0.04117907729708251,0.14674692836503175,156,3.6
Bihar,Samastipur,0.24722219808639248,28,0.10282999770058565,0.2547444846925223,1112,1.1785714285714286
Bihar,Sheikhpura,0.2649298279463014,5,0.022643584830080013,0.05176231175163594,48,0.0
Bihar,Sitamarhi,0.15852558983104323,15,0.02091934111463085,0.10109374402003621,131,0.7333333333333333
Bihar,Siwan,0.47452600012709745,8,0.14840432473023282,0.13677645972143054,454,2.125
Bihar,Supaul,0.3225561323299155,4,0.02823089048682926,0.05910020720423685,44,2.5
Bihar,Vaishali,0.3942970667423448,16,0.1139052987748781,0.12828558027987605,705,0.6875
Chandigarh,Chandigarh,0.3659635746517988,1,0.13293254331240467,0.23030727758749014,46,19.0
Chhattisgarh,Bastar,0.1603814450290445,9,0.006481588853348459,0.030038289372357713,30,0.4444444444444444
Chhattisgarh,Bilaspur,0.5861083562346842,21,0.14176518380953157,0.07948433248338593,1141,1.7619047619047619
Chhattisgarh,Dakshin Bastar Dantewada,0.14546701910035156,8,0.002823089048682926,0.016511396132126144,16,0.25
Chhattisgarh,Dhamtari,0.28458733751398324,5,0.014077422429726417,0.035227767924560206,30,1.2
Chhattisgarh,Durg,0.4200611839004925,20,0.13422163553959673,0.11108435989902002,1042,1.7
Chhattisgarh,Korba,0.3778297301700224,7,0.032740473027539164,0.052995479182726436,90,2.0
Chhattisgarh,Koriya,0.48130306051866334,10,0.028225166091242655,0.027751605783538448,112,1.8
Chhattisgarh,Mahasamund,0.5933800209639961,6,0.06319139952580469,0.04330257953190761,150,0.0
