station_code,total_schedule_rows,unique_trains_serving_station,outbound_routes,inbound_routes,route_connectivity,code,name,State,District,pc11_state_id,pc11_district_id,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
BWN,235,235,17.0,11.0,28.0,BWN,BARDDHAMAN JN,West Bengal,Barddhaman,19.0,335.0,3074424.0,658449.0,922.59,3332.3838324716285,0.0,0.0,7.0
BWND,4,4,0.0,0.0,0.0,,,,,,,,,,,,,
BWP,6,6,0.0,0.0,0.0,BWP,Bhawanipur Kalan,Uttar Pradesh,Balrampur,9.0,182.0,166391.0,25513.0,53.96,3083.598962194218,0.0,4.0,4.0
BWPB,73,73,0.0,0.0,0.0,BWPB,BHAWANIPUR BIHAR,Bihar,Katihar,10.0,212.0,273822.0,53564.0,68.36,4005.5880631948503,0.0,26.0,325.0
BWPL,12,12,0.0,0.0,0.0,BWPL,Balwant Pura Chelasi,Rajasthan,Jhunjhunun,8.0,103.0,489079.0,83396.0,271.04,1804.453217237308,0.0,16.0,125.0
BWR,22,22,0.0,0.0,0.0,BWR,BARWA SAGAR,Uttar Pradesh,Jhansi,9.0,166.0,833484.0,151936.0,249.181,3344.893872325739,0.0,1.0,1.0
BWRA,125,125,0.0,0.0,0.0,BWRA,BHARATWADA,Maharashtra,Nagpur,27.0,505.0,3178759.0,701547.0,482.95,6581.962936121752,0.0,8.0,8.0
BWS,33,33,0.0,0.0,0.0,BWS,BADWASI,Rajasthan,Nagaur,8.0,112.0,637204.0,102073.0,414.63,1536.8014856619154,0.0,20.0,90.0
BWSN,76,76,0.0,0.0,0.0,BWSN,BIJWASAN,NCT of Delhi,South West,,,,,,,,,
BWT,95,95,3.0,3.0,6.0,BWT,BANGARAPET,Karnataka,Kolar,29.0,581.0,480073.0,106290.0,120.95000000000002,3969.1856138900366,0.0,0.0,50.0
BWV,6,6,0.0,0.0,0.0,BWV,Bhiwapur,Maharashtra,Nagpur,27.0,505.0,3178759.0,701547.0,482.95,6581.962936121752,0.0,8.0,8.0
BWW,10,10,0.0,0.0,0.0,BWW,Barwaha,Madhya Pradesh,West Nimar,23.0,440.0,298856.0,58673.0,57.31,5214.726923748037,0.0,0.0,60.0
BWX,25,25,0.0,0.0,0.0,BWX,BAHMAN DIWANA,Punjab,Bathinda,3.0,46.0,499217.0,102610.0,159.09,3137.953359733484,0.0,11.0,125.0
BWZ,10,10,0.0,0.0,0.0,BWZ,Baddowal,Punjab,Ludhiana,3.0,41.0,2069708.0,436030.0,321.9,6429.661385523455,0.0,7.0,7.0
BXA,6,4,0.0,0.0,0.0,BXA,Balod,Chhattisgarh,Durg,22.0,409.0,1284765.0,277413.0,554.8600000000001,2315.4759759218537,0.0,8.0,8.0
BXB,2,2,0.0,0.0,0.0,BXB,Banga,Punjab,Shahid Bhagat Singh Nagar,3.0,39.0,125416.0,26734.0,67.35,1862.1529324424648,0.0,4.0,35.0
BXC,14,14,0.0,0.0,0.0,BXC,Barwala,Haryana,Hisar,6.0,80.0,553488.0,109957.0,147.47,3753.2243846206006,0.0,5.0,135.0
BXF,2,2,1.0,1.0,2.0,BXF,Barsuan,Odisha,Sundargarh,21.0,374.0,738097.0,166612.0,2753.439,268.0636832702668,0.0,0.0,110.0
BXG,6,6,0.0,0.0,0.0,BXG,Bhanga,Assam,Karimganj,18.0,317.0,109700.0,23151.0,19.27,5692.786715101193,0.0,30.0,308.0
BXJ,38,38,0.0,0.0,0.0,BXJ,BOKAJAN,Assam,Karbi Anglong,18.0,314.0,112966.0,23689.0,37.45,3016.4485981308408,0.0,60.0,165.0
BXK,7,7,0.0,0.0,0.0,BXK,BANDARKHAL,Assam,Cachar,18.0,316.0,315464.0,69205.0,64.58999999999999,4884.0997058368175,0.0,0.0,315.0
BXL,48,48,0.0,0.0,0.0,BXL,BHEDUASOL,West Bengal,Bankura,19.0,339.0,299773.0,65743.0,84.12899999999999,3563.2540503274736,0.0,12.0,12.0
BXLL,42,33,0.0,0.0,0.0,BXLL,BILLI,Uttar Pradesh,Sonbhadra,9.0,200.0,314342.0,62352.0,123.12733,2552.983159790763,0.0,42.0,89.0
BXM,11,11,0.0,0.0,0.0,BXM,BELRAYAN,Uttar Pradesh,Kheri,9.0,153.0,461035.0,83832.0,87.97,5240.820734341252,0.0,3.0,3.0
BXN,88,88,3.0,2.0,5.0,BXN,BAYANA JN,Rajasthan,Bharatpur,8.0,105.0,495099.0,86725.0,151.66,3264.5325069233813,0.0,16.0,60.0
BXP,38,38,0.0,0.0,0.0,BXP,BARPATHAR,Assam,Golaghat,18.0,313.0,97736.0,22337.0,36.45,2681.3717421124825,0.0,27.0,245.0
BXQ,43,43,0.0,0.0,0.0,BXQ,BRUNDAMAL,Odisha,Jharsuguda,21.0,371.0,231165.0,51774.0,160.82,1437.414500683995,0.0,33.0,66.0
BXR,149,149,11.0,11.0,22.0,BXR,BUXAR,Bihar,Buxar,10.0,232.0,164499.0,26483.0,21.500000000000004,7651.116279069766,0.0,55.0,120.0
BXS,44,44,0.0,0.0,0.0,BXS,PICHCHANDARKOVL,Tamil Nadu,Tiruchirappalli,33.0,614.0,1338033.0,341160.0,466.2650000000001,2869.6835490547214,0.0,0.0,0.0
BXT,1,1,1.0,0.0,1.0,BXT,Bamanhat,West Bengal,Koch Bihar,19.0,329.0,289434.0,69693.0,69.23,4180.759786219846,0.0,4.0,35.0
BXY,13,13,0.0,0.0,0.0,BXY,Bordhal,Madhya Pradesh,Betul,23.0,447.0,309151.0,67953.0,101.83,3035.952076991064,0.0,0.0,110.0
BY,99,99,0.0,0.0,0.0,BY,BYCULLA,Maharashtra,Mumbai,,,,,,,,,
BYC,30,30,0.0,0.0,0.0,BYC,BELLARY CANT,Karnataka,Bellary,29.0,565.0,920239.0,193860.0,412.27,2232.127004147768,0.0,0.0,152.0
BYD,50,50,0.0,0.0,0.0,BYD,BYADGI,Karnataka,Haveri,29.0,564.0,355501.0,73219.0,143.4,2479.086471408647,0.0,16.0,65.0
BYE,2,2,0.0,0.0,0.0,BYE,BANSI BOHERA,Rajasthan,Chittaurgarh,8.0,126.0,285264.0,59787.0,138.82999999999998,2054.7720233378955,0.0,55.0,58.0
BYH,38,38,0.0,0.0,0.0,BYH,BHITI,Uttar Pradesh,Allahabad,,,,,,,,,
BYHA,28,28,0.0,0.0,0.0,BYHA,BARYA RAM,Uttar Pradesh,Allahabad,,,,,,,,,
BYL,104,104,0.0,0.0,0.0,BYL,BELHA,Chhattisgarh,Bilaspur,22.0,406.0,679870.0,144187.0,288.56,2356.078458552814,0.0,1.0,22.0
BYN,141,141,0.0,0.0,0.0,BYN,BANAHI,Bihar,Bhojpur,10.0,231.0,389861.0,59431.0,83.77,4653.945326489197,0.0,16.0,48.0
BYNR,44,44,0.0,0.0,0.0,BYNR,MOOKAMBIKA ROAD,Karnataka,Udupi,29.0,569.0,334061.0,75549.0,243.67,1370.9566216604426,0.0,8.0,27.0
BYO,4,4,0.0,0.0,0.0,BYO,BAYALUVADDIGERI,Karnataka,Bellary,29.0,565.0,920239.0,193860.0,412.27,2232.127004147768,0.0,0.0,152.0
BYP,6,6,0.0,0.0,0.0,BYP,Baijnathpur,Bihar,Saharsa,10.0,214.0,156540.0,28862.0,21.13,7408.424041646947,0.0,0.0,260.0
BYPL,123,119,0.0,0.0,0.0,BYPL,BAIYYAPPANAHALI,Karnataka,Bangalore,,,,,,,,,
BYPY,22,22,0.0,0.0,0.0,BYPY,BAIYYAPPANAHALLI YARD CABIN,Karnataka,Bangalore,,,,,,,,,
