pc11_state_id,pc11_district_id,State,District,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
33,605,Tamil Nadu,Vellore,1701987,392575.0,543.902,3129.2162926409533,0.0,0.0,70.0
33,606,Tamil Nadu,Tiruvannamalai,494945,116147.0,174.32,2839.2898118402936,0.0,0.0,81.0
33,607,Tamil Nadu,Viluppuram,519088,121521.0,201.34000000000003,2578.166285884573,0.0,2.0,72.0
33,608,Tamil Nadu,Salem,1774122,463944.0,675.5899999999999,2626.033541053006,0.0,0.0,0.0
33,609,Tamil Nadu,Namakkal,696125,192263.0,300.575,2315.9777093903353,3.0,3.0,20.0
33,610,Tamil Nadu,Erode,1157976,334569.0,768.2900000000001,1507.2121204232776,0.0,0.0,16.0
33,611,Tamil Nadu,The Nilgiris,435655,114632.0,582.29,748.1753078363015,0.0,70.0,54.0
33,612,Tamil Nadu,Dindigul,808040,209803.0,562.79,1435.7753336057856,0.0,0.0,28.0
33,613,Tamil Nadu,Karur,434517,118699.0,283.5,1532.6878306878307,0.0,30.0,30.0
33,614,Tamil Nadu,Tiruchirappalli,1338033,341160.0,466.2650000000001,2869.6835490547214,0.0,0.0,0.0
33,615,Tamil Nadu,Perambalur,97163,25298.0,83.66999999999999,1161.264491454524,30.0,60.0,60.0
33,616,Tamil Nadu,Ariyalur,83794,21187.0,53.31,1571.825173513412,0.0,30.0,70.0
33,617,Tamil Nadu,Cuddalore,885189,212105.0,459.32,1927.1727771488288,0.0,0.0,102.0
33,618,Tamil Nadu,Nagapattinam,364624,90487.0,187.76,1941.9684703877292,0.0,0.0,120.0
33,619,Tamil Nadu,Thiruvarur,257795,65220.0,102.59999999999998,2512.621832358675,0.0,10.0,95.0
33,620,Tamil Nadu,Thanjavur,851359,214161.0,366.46,2323.1976204769962,0.0,0.0,32.0
33,621,Tamil Nadu,Pudukkottai,316354,77394.0,168.92999999999998,1872.6928313502638,0.0,0.0,28.0
33,622,Tamil Nadu,Sivaganga,412845,104425.0,176.66,2336.9466772331034,0.0,0.0,19.0
33,623,Tamil Nadu,Madurai,1846801,479851.0,317.45,5817.612222397228,0.0,0.0,0.0
33,624,Tamil Nadu,Theni,670481,181393.0,297.31,2255.1579159799535,0.0,12.0,59.0
33,625,Tamil Nadu,Virudhunagar,980226,272746.0,446.7,2194.3720617864337,0.0,0.0,30.0
33,626,Tamil Nadu,Ramanathapuram,410699,95141.0,191.015,2150.0876894484727,0.0,60.0,60.0
33,627,Tamil Nadu,Thoothukkudi,876802,226561.0,414.8,2113.794599807136,0.0,0.0,70.0
33,628,Tamil Nadu,Tirunelveli,1520229,396471.0,1057.13,1438.0719495237104,0.0,0.0,88.0
33,629,Tamil Nadu,Kanniyakumari,1539802,398061.0,662.8399999999999,2323.037233721562,0.0,0.0,10.0
33,630,Tamil Nadu,Dharmapuri,260912,65464.0,89.57,2912.939600312605,0.0,42.0,42.0
33,631,Tamil Nadu,Krishnagiri,428363,105194.0,163.27,2623.647945121578,0.0,0.0,35.0
33,632,Tamil Nadu,Coimbatore,2618940,715878.0,1628.115,1608.5718760652655,0.0,0.0,1.0
33,633,Tamil Nadu,Tiruppur,1521111,429023.0,832.53,1827.0945191164283,0.0,0.0,30.0
34,634,Puducherry,Yanam,55626,13812.0,30.0,1854.2,26.0,26.0,185.0
34,635,Puducherry,Puducherry,657209,162016.0,77.26,8506.458710846491,0.0,5.0,164.0
34,636,Puducherry,Mahe,41816,7420.0,9.0,4646.222222222223,3.0,8.0,65.0
34,637,Puducherry,Karaikal,98102,24184.0,38.3,2561.4099216710183,4.0,6.0,160.0
35,639,Andaman Nicobar Islands,North Middle Andaman,2741,724.0,5.95,460.672268907563,1100.0,159.0,1100.0
35,640,Andaman Nicobar Islands,South Andaman,140747,35297.0,32.0437,4392.3454532404185,1100.0,30.0,1100.0
